CCTV-1综合,udp://239.253.242.77:8000
CCTV-2财经,udp://239.253.242.234:8000
CCTV-3综艺,udp://239.253.242.191:8000
CCTV-3综艺,udp://239.253.242.4:8000
CCTV-4中文国际,udp://239.253.242.111:8000
CCTV-4欧洲,udp://239.253.242.186:8000
CCTV-4美洲,udp://239.253.242.187:8000
CCTV-5体育,udp://239.253.242.192:8000
CCTV-5体育,udp://239.253.242.6:8000
CCTV-5+体育赛事,udp://239.253.242.80:8000
CCTV-6电影,udp://239.253.242.193:8000
CCTV-6电影,udp://239.253.242.7:8000
CCTV-7国防军事,udp://239.253.242.235:8000
CCTV-8电视剧,udp://239.253.242.194:8000
CCTV-8电视剧,udp://239.253.242.9:8000
CCTV-9纪录,udp://239.253.242.79:8000
CCTV-10科教,udp://239.253.242.236:8000
CCTV-11戏曲,udp://239.253.242.12:8000
CCTV-12社会与法,udp://239.253.242.237:8000
CCTV-13新闻,udp://239.253.242.14:8000
CCTV-14少儿,udp://239.253.242.238:8000
CCTV-15音乐,udp://239.253.242.16:8000
CCTV-17农业农村,udp://239.253.242.168:8000
CCTV-4K,udp://239.253.242.122:8000
中国教育1台,udp://239.253.242.110:8000
中国教育2台,udp://239.253.242.107:8000
中国教育4台,udp://239.253.242.108:8000
CGTN,udp://239.253.242.17:8000
CGTN-纪录,udp://239.253.242.188:8000
CGTN-西班牙语,udp://239.253.242.182:8000
CGTN-法语,udp://239.253.242.183:8000
CGTN-阿拉伯语,udp://239.253.242.184:8000
CGTN-俄语,udp://239.253.242.185:8000
中央新影-发现之旅,udp://239.253.242.162:8000
中央新影-中学生,udp://239.253.242.163:8000
中央新影-老故事,udp://239.253.242.164:8000
山东卫视,udp://239.253.242.78:8000
海南卫视,udp://239.253.242.35:8000
重庆卫视,udp://239.253.242.38:8000
广西卫视,udp://239.253.242.40:8000
云南卫视,udp://239.253.242.42:8000
河南卫视,udp://239.253.242.44:8000
吉林卫视,udp://239.253.242.46:8000
江西卫视,udp://239.253.242.47:8000
山西卫视,udp://239.253.242.48:8000
陕西卫视,udp://239.253.242.49:8000
四川卫视,udp://239.253.242.50:8000
宁夏卫视,udp://239.253.242.53:8000
青海卫视,udp://239.253.242.54:8000
西藏卫视,udp://239.253.242.56:8000
兵团卫视,udp://239.253.242.57:8000
贵州卫视,udp://239.253.242.69:8000
农林卫视,udp://239.253.242.70:8000
内蒙古卫视,udp://239.253.242.58:8000
山东教育卫视,udp://239.253.242.59:8000
新疆卫视,udp://239.253.242.60:8000
甘肃卫视,udp://239.253.242.74:8000
湖南卫视,udp://239.253.242.82:8000
江苏卫视,udp://239.253.242.83:8000
浙江卫视,udp://239.253.242.84:8000
北京卫视,udp://239.253.242.85:8000
东方卫视,udp://239.253.242.86:8000
安徽卫视,udp://239.253.242.87:8000
湖北卫视,udp://239.253.242.88:8000
天津卫视,udp://239.253.242.89:8000
广东卫视,udp://239.253.242.90:8000
深圳卫视,udp://239.253.242.91:8000
辽宁卫视,udp://239.253.242.92:8000
黑龙江卫视,udp://239.253.242.93:8000
东南卫视,udp://239.253.242.105:8000
厦门卫视,udp://239.253.242.106:8000
河北卫视,udp://239.253.242.112:8000
贵州卫视,udp://239.253.242.113:8000
贵州卫视,udp://239.253.242.120:8000
延边卫视,udp://239.253.242.121:8000
三沙卫视,udp://239.253.242.171:8000
贵州卫视,udp://239.253.242.253:8000
贵州卫视,udp://239.253.242.243:8000
山东齐鲁,udp://239.253.242.18:8000
山东文旅,udp://239.253.242.19:8000
山东生活,udp://239.253.242.20:8000
山东综艺,udp://239.253.242.21:8000
山东体育,udp://239.253.242.22:8000
山东新闻,udp://239.253.242.23:8000
山东农科,udp://239.253.242.24:8000
山东少儿,udp://239.253.242.25:8000
商河综合,udp://239.253.242.240:8000
章丘综合,udp://239.253.242.241:8000
长清新闻,udp://239.253.242.242:8000
济南鲁中,udp://239.253.242.244:8000
济阳综合,udp://239.253.242.245:8000
济南教育,udp://239.253.242.246:8000
平阴综合,udp://239.253.242.247:8000
