CCTV-1综合,rtp://239.253.64.120:5140
CCTV-2财经,rtp://239.253.64.195:5140
CCTV-3综艺,rtp://239.253.64.244:5140
CCTV-4中文国际,rtp://239.253.64.196:5140
CCTV-5体育,rtp://239.253.64.245:5140
CCTV-5+体育赛事,rtp://239.253.64.100:5140
CCTV-6电影,rtp://239.253.64.246:5140
CCTV-7国防军事,rtp://239.253.64.54:5140
CCTV-8电视剧,rtp://239.253.64.247:5140
CCTV-9纪录,rtp://239.253.64.76:5140
CCTV-10科教,rtp://239.253.64.87:5140
CCTV-11戏曲,rtp://239.253.64.70:5140
CCTV-12社会与法,rtp://239.253.64.97:5140
CCTV-13新闻,rtp://239.253.64.59:5140
CCTV-14少儿,rtp://239.253.64.115:5140
CCTV-15音乐,rtp://239.253.64.72:5140
CCTV-16奥林匹克,rtp://239.253.64.251:5140
CCTV-16奥林匹克4K,rtp://239.253.64.126:5140
CCTV-17农业农村,rtp://239.253.64.67:5140
中国教育1台,rtp://239.253.64.169:5140
CGTN-纪录,rtp://239.253.64.58:5140
北京卫视4K,rtp://239.253.64.92:5140
深圳卫视4K,rtp://239.253.64.95:5140
广东卫视4K,rtp://239.253.64.96:5140
东方卫视4K,rtp://239.253.64.63:5140
湖南卫视4K,rtp://239.253.64.60:5140
江苏卫视4K,rtp://239.253.64.61:5140
浙江卫视4K,rtp://239.253.64.62:5140
四川卫视4K,rtp://239.253.64.64:5140
山东卫视4K,rtp://239.253.64.65:5140
海南卫视,rtp://239.253.64.253:5140
三沙卫视,rtp://239.253.64.112:5140
海南自贸,rtp://239.253.64.119:5140
海南新闻,rtp://239.253.64.121:5140
海南文旅,rtp://239.253.64.122:5140
海南少儿,rtp://239.253.64.124:5140
海南公共,rtp://239.253.64.14:5140
海口-1,rtp://239.253.64.6:5140
海口-2,rtp://239.253.64.7:5140
海口-3,rtp://239.253.64.8:5140
三亚-1,rtp://239.253.64.9:5140
儋州,rtp://239.253.64.107:5140
文昌,rtp://239.253.64.105:5140
白沙,rtp://239.253.64.118:5140
昌江,rtp://239.253.64.108:5140
五指山,rtp://239.253.64.69:5140
澄迈,rtp://239.253.64.109:5140
保亭,rtp://239.253.64.159:5140
陵水,rtp://239.253.64.116:5140
万宁,rtp://239.253.64.167:5140
临高,rtp://239.253.64.155:5140
屯昌,rtp://239.253.64.117:5140
琼海,rtp://239.253.64.106:5140
定安,rtp://239.253.64.110:5140
东方,rtp://239.253.64.111:5140
琼中,rtp://239.253.64.165:5140
乐东,rtp://239.253.64.166:5140
东方卫视,rtp://239.253.64.201:5140
湖南卫视,rtp://239.253.64.114:5140
甘肃卫视,rtp://239.253.64.156:5140
江苏卫视,rtp://239.253.64.202:5140
浙江卫视,rtp://239.253.64.206:5140
北京卫视,rtp://239.253.64.204:5140
东南卫视,rtp://239.253.64.66:5140
天津卫视,rtp://239.253.64.198:5140
安徽卫视,rtp://239.253.64.129:5140
山东卫视,rtp://239.253.64.208:5140
广东卫视,rtp://239.253.64.200:5140
河北卫视,rtp://239.253.64.210:5140
河南卫视,rtp://239.253.64.157:5140
深圳卫视,rtp://239.253.64.203:5140
湖北卫视,rtp://239.253.64.207:5140
黑龙江卫视,rtp://239.253.64.205:5140
贵州卫视,rtp://239.253.64.197:5140
辽宁卫视,rtp://239.253.64.150:5140
重庆卫视,rtp://239.253.64.55:5140
吉林卫视,rtp://239.253.64.57:5140
江西卫视,rtp://239.253.64.56:5140
宁夏卫视,rtp://239.253.64.88:5140
西藏卫视,rtp://239.253.64.84:5140
新疆卫视,rtp://239.253.64.85:5140
兵团卫视,rtp://239.253.64.86:5140
金鹰纪实,rtp://239.253.64.168:5140
睛彩篮球,rtp://239.253.64.152:5140
睛彩竞技,rtp://239.253.64.151:5140
睛彩青少年,rtp://239.253.64.153:5140
睛彩广场舞,rtp://239.253.64.154:5140
爱上4K,rtp://239.253.64.243:5140
电竞比赛,rtp://239.253.64.80:5140
中国天气,rtp://239.253.64.79:5140
IPTV3+,rtp://239.253.64.10:5140
IPTV5+,rtp://239.253.64.26:5140
IPTV5+HD,rtp://239.253.64.125:5140
IPTV6+,rtp://239.253.64.49:5140
IPTV8+,rtp://239.253.64.160:5140
IPTV收视指南,rtp://239.253.64.238:5140
IPTV经典电影,rtp://239.253.64.227:5140
IPTV热播剧场,rtp://239.253.64.211:5140
IPTV魅力时尚,rtp://239.253.64.231:5140
IPTV相声小品,rtp://239.253.64.214:5140
IPTV谍战剧场,rtp://239.253.64.212:5140
IPTV法治,rtp://239.253.64.213:5140
IPTV野外,rtp://239.253.64.215:5140
IPTV音乐现场,rtp://239.253.64.235:5140
IPTV少儿动画,rtp://239.253.64.232:5140
IPTV动作影院,rtp://239.253.64.220:5140
IPTV喜剧影院,rtp://239.253.64.233:5140
IPTV家庭影院,rtp://239.253.64.225:5140
IPTV武侠剧场,rtp://239.253.64.254:5140
IPTV军旅剧场,rtp://239.253.64.228:5140
IPTV城市剧场,rtp://239.253.64.218:5140
IPTV古装剧场,rtp://239.253.64.221:5140
IPTV好学生,rtp://239.253.64.223:5140
IPTV国学,rtp://239.253.64.222:5140
IPTV戏曲,rtp://239.253.64.234:5140
IPTV墨宝,rtp://239.253.64.158:5140
IPTV早教,rtp://239.253.64.236:5140
IPTV美人,rtp://239.253.64.123:5140
IPTV动画,rtp://239.253.64.163:5140
IPTV地理,rtp://239.253.64.219:5140
IPTV解密,rtp://239.253.64.141:5140
IPTV军事,rtp://239.253.64.229:5140
IPTV足球,rtp://239.253.64.237:5140
IPTV武术,rtp://239.253.64.170:5140
IPTV精选,rtp://239.253.64.224:5140
IPTV爱生活,rtp://239.253.64.216:5140
IPTV台球,rtp://239.253.64.164:5140
IPTV高网,rtp://239.253.64.250:5140
